person_id,record_date,age,experience_years,unit_id,role,role_difficulty_score,duty_hours,overtime_hours,shift_type,night_shift,consecutive_work_days,consecutive_night_shifts,leave_requested,leave_days,leave_type,leave_approved,days_since_last_leave,deployment_status,deployment_duration_days,recent_deployment,transfer_event,days_since_transfer,deployment_hardship_score,sleep_hours,sleep_quality,mood_score,stress_score,fatigue_score,help_requested,avg_duty_hours_30d,night_shifts_30d,leave_days_30d,leave_requests_30d,leave_frequency,duty_hours_deviation,sleep_deviation,stress_deviation,mood_deviation,leave_deviation,night_shift_deviation,workload_deviation,wellness_trend,stress_trend,sleep_trend,risk_probability,risk_score,risk_category,contributing_factors,factor_impacts,factor_directions,recommendations,recommendation_reasons,model_version,prediction_timestamp,welfare_concern_30d
P0001,2026-01-01,25,4,UNIT-02,Senior Officer,70,6.2,0.5,Night,1,7,2,0,0,None,0,17,Not Deployed,0,0,0,446,15.8,6.9,6,8,5,3,0,6.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stable,Stable,Stable,0.484,48,MODERATE,Role difficulty,48,High,Routine monitoring,No significant risk indicators detected this period,synthetic-model-v1,2026-01-02 01:00:00,1
P0001,2026-01-08,25,4,UNIT-02,Senior Officer,70,6.6,0.9,Night,1,6,3,0,0,None,0,24,Not Deployed,0,0,0,453,14.6,6.2,8,7,5,3,0,6.4,2,0,0,0.0,0.4,-0.7,0.0,-1.0,7.0,0.0,0.8,Improving,Stable,Declining,0.511,51,MODERATE,Sleep decline | Mood decline | Night-duty frequency | Role difficulty | Average duty hours,18 | 14 | 10 | 5 | 4,Declining | Declining | Increasing | High | Increasing,Wellness check-in focused on sleep and recovery,Sleep duration/quality declining from baseline,synthetic-model-v1,2026-01-09 02:00:00,1
P0001,2026-01-15,25,4,UNIT-02,Senior Officer,70,8.7,0.0,Day,0,5,0,1,3,Casual,1,7,Not Deployed,0,0,0,460,13.0,5.6,5,7,5,4,0,7.17,2,3,1,0.33,2.3,-0.95,0.0,-0.5,-13.5,-1.0,1.6,Declining,Stable,Declining,0.512,51,MODERATE,Sleep decline | Average duty hours | Night-duty frequency | Mood decline | Role difficulty,19 | 17 | 7 | 5 | 3,Declining | Increasing | Increasing | Declining | High,Workload review | Wellness check-in focused on sleep and recovery,Duty hours elevated relative to personal baseline | Sleep duration/quality declining from baseline,synthetic-model-v1,2026-01-16 01:00:00,0
P0001,2026-01-22,25,4,UNIT-02,Senior Officer,70,7.8,1.1,Day,0,6,0,0,0,None,0,14,Not Deployed,0,0,0,467,12.6,6.3,6,6,7,4,0,7.32,2,3,1,0.25,0.63,0.07,2.0,-1.33,-2.0,-0.67,1.27,Declining,Declining,Stable,0.46,46,MODERATE,Mood decline | Night-duty frequency | Sleep decline | Average duty hours | Role difficulty,18 | 10 | 7 | 6 | 5,Declining | Increasing | Declining | Increasing | High,Routine monitoring,No significant risk indicators detected this period,synthetic-model-v1,2026-01-23 04:00:00,0
P0001,2026-01-29,25,4,UNIT-02,Senior Officer,70,8.1,0.0,Day,0,7,0,0,0,None,0,21,Not Deployed,0,0,0,474,9.1,6.2,7,6,6,4,0,7.8,1,3,1,0.25,0.77,-0.05,0.5,-1.0,5.5,-0.5,0.15,Improving,Declining,Improving,0.469,47,MODERATE,Mood decline | Average duty hours | Sleep decline | Role difficulty,19 | 11 | 10 | 7,Declining | Increasing | Declining | High,Routine monitoring,No significant risk indicators detected this period,synthetic-model-v1,2026-01-30 03:00:00,0
P0001,2026-02-05,25,4,UNIT-02,Senior Officer,70,7.2,1.2,Day,0,6,0,0,0,None,0,28,Not Deployed,0,0,0,481,11.4,5.9,6,6,5,4,0,7.95,0,3,1,0.25,-0.28,-0.34,-0.6,-0.8,11.4,-0.4,0.42,Stable,Improving,Declining,0.314,31,MODERATE,Sleep decline | Mood decline | Leave gap | Role difficulty,11 | 10 | 6 | 4,Declining | Declining | Increasing | High,Wellness check-in focused on sleep and recovery,Sleep duration/quality declining from baseline,synthetic-model-v1,2026-02-06 04:00:00,0
P0001,2026-02-12,25,4,UNIT-02,Senior Officer,70,7.5,1.2,Day,0,5,0,0,0,None,0,35,Not Deployed,0,0,0,488,14.7,6.4,7,6,6,5,0,7.65,0,0,0,0.0,0.07,0.22,0.5,-0.67,16.5,-0.33,0.65,Declining,Stable,Stable,0.473,47,MODERATE,Leave gap | Mood decline | Sleep decline | Role difficulty | Average duty hours,21 | 11 | 8 | 6 | 1,Increasing | Declining | Declining | High | Increasing,Routine monitoring,No significant risk indicators detected this period,synthetic-model-v1,2026-02-13 02:00:00,0
P0001,2026-02-19,25,4,UNIT-02,Senior Officer,70,8.1,0.1,Night,1,4,1,0,0,None,0,42,Not Deployed,0,0,0,495,14.1,5.5,6,7,5,3,0,7.72,1,0,0,0.0,0.66,-0.71,-0.57,0.43,21.14,0.71,0.06,Improving,Stable,Declining,0.356,36,MODERATE,Leave gap | Sleep decline | Average duty hours | Role difficulty,16 | 13 | 4 | 3,Increasing | Declining | Increasing | High,Consider leave/recovery review | Wellness check-in focused on sleep and recovery,Prolonged gap since last leave taken | Sleep duration/quality declining from baseline,synthetic-model-v1,2026-02-20 01:00:00,1
P0001,2026-02-26,25,4,UNIT-02,Senior Officer,70,7.5,0.1,Night,1,5,3,0,0,None,0,49,Not Deployed,0,0,0,502,11.2,5.9,5,6,6,4,0,7.57,2,0,0,0.0,-0.03,-0.22,0.5,-0.62,25.5,0.62,-0.55,Declining,Stable,Declining,0.393,39,MODERATE,Leave gap | Sleep decline | Night-duty frequency | Mood decline | Role difficulty,21 | 6 | 5 | 4 | 3,Increasing | Declining | Increasing | Declining | High,Consider leave/recovery review | Wellness check-in focused on sleep and recovery,Prolonged gap since last leave taken | Sleep duration/quality declining from baseline,synthetic-model-v1,2026-02-27 02:00:00,0
P0001,2026-03-05,25,4,UNIT-02,Senior Officer,70,7.4,0.6,Night,1,5,5,0,0,None,0,56,Not Deployed,0,0,0,509,12.5,6.1,6,7,6,5,0,7.62,3,0,0,0.0,-0.12,0.0,0.44,0.44,29.67,0.56,-0.09,Declining,Declining,Improving,0.573,57,HIGH,Leave gap | Night-duty frequency | Sleep decline | Role difficulty,36 | 14 | 5 | 3,Increasing | Increasing | Declining | High,Review night-duty schedule | Consider leave/recovery review,Frequent night shifts in the past 30 days | Prolonged gap since last leave taken,synthetic-model-v1,2026-03-06 03:00:00,0
