id,pseudonymous_id,deployment_type,hardship_level,start_date,end_date
48af2b79-0cdf-4527-991e-eacdaa5451d3,72e0f47d-0ed0-409a-9bbb-0564203ceda6,peacekeeping,1,2026-02-14,2026-03-24
9e45af57-2638-45f2-b42a-114df8a21006,45ad8569-ef44-4e61-939f-51d9e4a14686,humanitarian,1,2026-01-19,2026-03-17
c1874c78-b42b-4bfb-9a9a-9e3ee265dc22,4494bc6e-3d0d-425e-8d18-b856f5e83356,peacekeeping,5,2026-03-18,2026-05-21
3b8b28b6-be2a-4486-80f5-de66a912966d,5afd666b-497f-46ed-b98f-7d4ca698ae5e,peacekeeping,3,2026-04-09,2026-05-18
9aa502ad-5f95-40a0-a75f-b2aa270e98ee,776de020-0fd7-491a-8f35-c0dc5f24cc27,peacekeeping,1,2026-04-15,2026-06-02
a1058ab8-1ec8-48da-ad6c-35fa68bcd3bb,70951eb3-027c-4216-abb2-4e4b5e030d7c,humanitarian,5,2026-03-20,2026-05-16
b5ef4172-6798-4d75-940f-31e52f4d68a0,1fcad298-5dca-4a2a-844e-5ef6a36cd8eb,tactical_readiness,4,2026-02-21,2026-05-08
8cb72cee-6777-49d2-9696-e8511487d202,6a0afa9d-a509-4d89-97d6-03729267f700,humanitarian,1,2026-04-01,2026-06-03
723c4f09-16f2-4ee7-9ebd-765187e82362,2a3662bb-3e9c-4059-96ed-a6fc60917de7,tactical_readiness,1,2026-04-24,2026-06-16
d8b05145-b3a8-465e-9103-a9b0497c205d,4d50a6b5-8fdd-4d91-add7-70f9fca5875e,humanitarian,2,2026-04-02,2026-06-20
3b963c0c-d448-4f31-9d7f-4fab63b9550d,4ab96b1e-eca6-4582-a326-96eaae1536b8,special_recon,5,2026-03-05,2026-05-20
433ef75c-dd68-4440-97dd-4676498db089,82a6e6d7-17fd-44a6-abbf-aeafb4449710,border_patrol,3,2026-03-19,2026-04-26
81d06a40-e832-462c-990c-12582917f803,2d66e083-3c9f-46b2-bba4-c90b6e25ff69,border_patrol,3,2026-01-31,2026-04-12
0c491b5c-e7b2-41bd-85ea-78531444bbe7,16feb681-c445-4288-b994-d95d814f7b25,peacekeeping,1,2026-04-29,2026-06-11
434b9f74-9342-47bb-b7bf-ab0beae5fca0,070ad95e-29db-45b2-979a-1b845c3baba2,border_patrol,1,2026-03-12,2026-04-28
13548596-5ef8-4bf3-a645-cd544e3cbe1f,7add9c6d-c8f7-414b-a5f2-959e72f6c1e5,peacekeeping,4,2026-03-18,2026-05-04
7061b42e-c9c1-47f1-9e41-dd5bbe852262,d2fe3180-36cd-423d-8a3b-a9008080782e,peacekeeping,1,2026-04-28,2026-06-24
