id,pseudonymous_id,leave_type,start_date,end_date
af35a68b-ad41-497b-8e43-21d5dd3931bc,999d258f-dc9e-4e2e-be14-d6d118a5404d,annual,2026-05-05,2026-05-14
e546c08c-2f40-49aa-940e-2a3aa3cd77df,496c28eb-4211-4e2e-81d0-a22d9bc59ef8,annual,2026-04-18,2026-05-02
c248d8b2-925e-4a84-b769-cd1f963bda35,86578f0d-5375-4a2a-b754-ef3fee5da4df,annual,2026-03-05,2026-03-15
15891f13-83f7-41e0-a4aa-71ceda814bb6,5afd666b-497f-46ed-b98f-7d4ca698ae5e,annual,2026-03-05,2026-03-17
3c616235-44d3-4be0-b8e1-da0d1980030b,e3781c20-9024-4d35-93d0-ea9a3e3ea717,annual,2026-02-24,2026-03-10
ee1b5287-9f4a-4c9c-b417-4b844d6aab5c,a2a12189-ff88-4e74-b0fa-debe93d6b1be,annual,2026-04-27,2026-05-06
5f25ae2c-dafb-472e-b855-ebf947b2456e,738d5915-4233-4d01-a945-cbeabf75cd21,annual,2026-02-17,2026-02-25
4824fd79-91e6-42c9-8814-7e036c7eccb4,1fcad298-5dca-4a2a-844e-5ef6a36cd8eb,sick,2026-03-12,2026-03-14
d7f36106-2019-4f34-b05e-2baf9c7d381c,1fcad298-5dca-4a2a-844e-5ef6a36cd8eb,sick,2026-04-14,2026-04-16
857e111e-ff8b-46eb-8253-910f9a20e102,1fcad298-5dca-4a2a-844e-5ef6a36cd8eb,sick,2026-04-26,2026-04-27
3a4a4252-8f15-49c4-af20-ad89afca9c15,2a3662bb-3e9c-4059-96ed-a6fc60917de7,annual,2026-03-06,2026-03-14
63b05a3c-3e78-4214-b13e-90a571820964,ffdd5e3c-2213-45d8-92a2-b1ab959c2633,annual,2026-03-15,2026-03-26
3c80636b-c546-4109-b389-5506a449953d,4d35925f-dc08-4701-9635-b21566f083c8,annual,2026-01-27,2026-02-05
9cc46644-a324-4ca5-806a-b0ce74286bdb,4d50a6b5-8fdd-4d91-add7-70f9fca5875e,annual,2026-01-29,2026-02-07
dccf831d-01f8-48b3-a59f-f9b397640a9f,814bcd5d-6c43-4c9e-be13-506c8e025f59,annual,2026-02-05,2026-02-16
d549b79b-f369-441e-b071-cdc8d28bc5c3,64f05c24-9d94-4d30-b122-d3dc7b06d08c,annual,2026-04-17,2026-04-24
bfeb0a73-c90a-4fb8-a584-bc8296fa5e38,2d66e083-3c9f-46b2-bba4-c90b6e25ff69,annual,2026-01-26,2026-02-03
a135594c-a752-4e6d-86af-4bdff2eafee9,16feb681-c445-4288-b994-d95d814f7b25,annual,2026-03-08,2026-03-15
305ad4a5-a835-4719-a1e5-73ee12309457,ee2aa31c-3546-4f76-a06c-68900beffd68,annual,2026-04-10,2026-04-19
315b31a4-ecf3-411a-b687-6794f20bce47,70641daa-5086-4b41-a8cb-157cf104dd4a,annual,2026-03-12,2026-03-19
98d02b49-1d7d-4003-bc2f-2a27e8f52147,fe24136f-9985-4b90-899d-73513a5de4a9,annual,2026-04-14,2026-04-25
315da6a9-68e0-4adc-b20a-03e4e4e73896,d6fb430f-d101-4dc7-bd94-a22e3f26658a,annual,2026-03-01,2026-03-11
ece04678-d5c0-456f-9e03-6014bb46fcd9,7add9c6d-c8f7-414b-a5f2-959e72f6c1e5,annual,2026-02-07,2026-02-17
f5a30c03-c3f9-41ba-a595-e48b37200589,d2fe3180-36cd-423d-8a3b-a9008080782e,annual,2026-02-28,2026-03-14
e91a9bd8-27b8-4d33-a523-d3d6b584f539,e8d45d93-84e1-47f1-be6e-3c5a89051023,annual,2026-06-04,2026-06-17
f5f746fb-841b-4e64-bb6a-186e36ab5812,1338d9f8-e125-460c-a7b7-b13d6ebe7b67,annual,2026-05-23,2026-06-03
a1af8bab-bda3-4e88-b470-cf7001067eea,8959e852-9786-4c00-888c-84ec0d572e4b,sick,2026-05-14,2026-05-16
80936c31-1740-436d-b112-495b51a94e50,f8e47fda-cd0f-409d-b8f7-0cccc826bee5,annual,2026-04-23,2026-05-03
