id,pseudonymous_id,training_date,hours_committed
254509ae-5151-4a69-a6c8-41735e2d8c88,a789808b-9d6e-4182-8b54-ba7064f7ac61,2026-01-09,4.8
28bcff35-e65f-4420-ae94-837dc08f9f49,a789808b-9d6e-4182-8b54-ba7064f7ac61,2026-01-14,5.8
4d0b2771-d295-4cf3-98ed-99688030c56b,a789808b-9d6e-4182-8b54-ba7064f7ac61,2026-01-15,3.9
5d7467a5-7748-49ea-9d49-5e69f3f3fb13,a789808b-9d6e-4182-8b54-ba7064f7ac61,2026-01-20,3.8
5ace7c6f-6d81-45b6-89b4-28be90d90242,a789808b-9d6e-4182-8b54-ba7064f7ac61,2026-01-26,3.1
0b868c02-a9d5-4edf-a682-083dfddfb551,a789808b-9d6e-4182-8b54-ba7064f7ac61,2026-01-29,3.7
b10c0f60-7cb6-408e-a5f1-9291b44aa11e,a789808b-9d6e-4182-8b54-ba7064f7ac61,2026-01-30,5.3
f1a0c45e-4eb3-4242-8d41-a028b947583a,a789808b-9d6e-4182-8b54-ba7064f7ac61,2026-02-04,4.1
467726cb-09f3-449b-b395-2897baa0dcff,a789808b-9d6e-4182-8b54-ba7064f7ac61,2026-02-09,4.6
cbd07b86-b6fc-4aea-bbc3-1e1d25a393e2,a789808b-9d6e-4182-8b54-ba7064f7ac61,2026-02-18,4.2
3a731d62-4355-4ff3-a341-c53eadb02328,a789808b-9d6e-4182-8b54-ba7064f7ac61,2026-02-19,3.4
1093c513-a27f-4925-a7ad-3e51650227fb,a789808b-9d6e-4182-8b54-ba7064f7ac61,2026-03-03,1.5
0776660e-3b0b-4d42-8e1d-1e1711344972,a789808b-9d6e-4182-8b54-ba7064f7ac61,2026-03-05,3.8
a9da16bc-9a31-4706-9e68-ef6ff3369f08,a789808b-9d6e-4182-8b54-ba7064f7ac61,2026-03-16,4.4
adf1bd10-416d-4abb-9117-30bdac7d5db8,a789808b-9d6e-4182-8b54-ba7064f7ac61,2026-03-30,3.9
bed62f37-528f-4ad2-bb5b-dfeb8a643d2c,a789808b-9d6e-4182-8b54-ba7064f7ac61,2026-04-03,3.6
4abca12b-c406-44fc-917f-58daa258b13f,a789808b-9d6e-4182-8b54-ba7064f7ac61,2026-04-17,2.0
232a6037-b864-4913-81ee-e52412ee8ff7,a789808b-9d6e-4182-8b54-ba7064f7ac61,2026-04-29,3.3
31b7e333-f244-4d90-a9e1-424818babaee,a789808b-9d6e-4182-8b54-ba7064f7ac61,2026-04-30,4.8
07caa85d-9fbc-4deb-8eb6-84f92a04dab9,a789808b-9d6e-4182-8b54-ba7064f7ac61,2026-05-13,3.7
5e43847f-494f-452f-85b4-38080e713ebd,a789808b-9d6e-4182-8b54-ba7064f7ac61,2026-05-22,2.5
eaba3ed9-8a7c-4ed3-889b-b57fe441bcda,a789808b-9d6e-4182-8b54-ba7064f7ac61,2026-05-25,3.2
482ff625-a30e-4738-b9a2-6cc466f22688,a789808b-9d6e-4182-8b54-ba7064f7ac61,2026-05-27,5.3
646b4d49-90f5-43a9-8b2f-5569bbec312d,a789808b-9d6e-4182-8b54-ba7064f7ac61,2026-06-09,3.5
2e3a8897-63dc-4b3b-839e-ecd3de601605,a789808b-9d6e-4182-8b54-ba7064f7ac61,2026-06-12,1.6
71ea4ce7-6907-4b4f-8b7e-3eb2e0d84c6b,a789808b-9d6e-4182-8b54-ba7064f7ac61,2026-06-17,3.1
5b7d1d08-9b91-4565-8a56-5fa7739d35db,a789808b-9d6e-4182-8b54-ba7064f7ac61,2026-06-24,4.6
61ffe0af-6974-494f-b987-d98d5e06e1f6,72e0f47d-0ed0-409a-9bbb-0564203ceda6,2026-01-02,4.0
ee7c4431-f8a3-48a6-a025-5b9a4de2a521,72e0f47d-0ed0-409a-9bbb-0564203ceda6,2026-01-09,4.6
0fbd1fb6-5d53-4030-94a6-4753bb242d5d,72e0f47d-0ed0-409a-9bbb-0564203ceda6,2026-01-13,3.1
6973b8da-fbea-4c43-9cf4-530d6de9f80e,72e0f47d-0ed0-409a-9bbb-0564203ceda6,2026-01-20,5.4
e108ee39-09f8-4441-b575-c22b3de8aef8,72e0f47d-0ed0-409a-9bbb-0564203ceda6,2026-01-26,1.6
535c3b88-7daa-48cc-8b98-645666981483,72e0f47d-0ed0-409a-9bbb-0564203ceda6,2026-01-28,3.3
54d008e6-a21e-40b4-b25a-b0b24a3d837b,72e0f47d-0ed0-409a-9bbb-0564203ceda6,2026-02-02,4.5
e6012215-7c3d-400a-8842-7799b6a83860,72e0f47d-0ed0-409a-9bbb-0564203ceda6,2026-02-03,4.9
d9d667b7-906e-412b-b275-e98e39632aec,72e0f47d-0ed0-409a-9bbb-0564203ceda6,2026-02-17,5.6
a208de18-81e8-4608-86f0-798410ade30a,72e0f47d-0ed0-409a-9bbb-0564203ceda6,2026-02-23,3.3
911105e8-7744-4928-aab0-5d87a85cb4e2,72e0f47d-0ed0-409a-9bbb-0564203ceda6,2026-03-03,3.5
14b1a19c-16ad-480e-a18e-5b7f982ae2b1,72e0f47d-0ed0-409a-9bbb-0564203ceda6,2026-03-05,6.4
6d519522-badb-4797-8cdb-387a27a870b5,72e0f47d-0ed0-409a-9bbb-0564203ceda6,2026-03-12,3.5
a0aa7eeb-6d27-424d-92f1-074bbf22d546,72e0f47d-0ed0-409a-9bbb-0564203ceda6,2026-03-13,3.5
de1f81c5-ce87-482e-8df7-46584c002b37,72e0f47d-0ed0-409a-9bbb-0564203ceda6,2026-03-17,4.4
0fdcb130-5d54-4c11-8878-09348b0e8486,72e0f47d-0ed0-409a-9bbb-0564203ceda6,2026-03-19,3.3
9c5fb5ca-eba7-4dbc-b695-1fc4feb77fba,72e0f47d-0ed0-409a-9bbb-0564203ceda6,2026-03-23,1.5
9f2c37d3-cb2d-472b-aed5-bf0ebbebd9d5,72e0f47d-0ed0-409a-9bbb-0564203ceda6,2026-03-26,3.7
e7ed15df-497f-449d-9003-9363deb88f13,72e0f47d-0ed0-409a-9bbb-0564203ceda6,2026-03-27,5.4
4cf24207-f1f6-4657-9ad3-4bef38721712,72e0f47d-0ed0-409a-9bbb-0564203ceda6,2026-03-30,4.4
695ffb77-8292-4cb8-8c17-664db9049ece,72e0f47d-0ed0-409a-9bbb-0564203ceda6,2026-04-01,2.6
3e8823fb-021d-4db6-9736-470480720f53,72e0f47d-0ed0-409a-9bbb-0564203ceda6,2026-04-07,4.7
25d2510d-f4d3-478c-857c-437612b335a9,72e0f47d-0ed0-409a-9bbb-0564203ceda6,2026-04-10,3.4
5801c407-0c1c-4a8f-a0de-332c409cdcae,72e0f47d-0ed0-409a-9bbb-0564203ceda6,2026-04-16,3.9
8aac78e7-2a16-4877-b285-d71b883aa83b,72e0f47d-0ed0-409a-9bbb-0564203ceda6,2026-04-21,4.1
246052c1-c863-4c7d-8c5b-572c8029dc41,72e0f47d-0ed0-409a-9bbb-0564203ceda6,2026-04-23,4.6
380a5d09-d197-432d-ba69-aa5320159d61,72e0f47d-0ed0-409a-9bbb-0564203ceda6,2026-04-30,4.3
979d9c91-d473-4798-a20c-7a0e1df2089e,72e0f47d-0ed0-409a-9bbb-0564203ceda6,2026-05-01,2.8
7d0123bd-b22a-4466-bff0-70dfdbbf337f,72e0f47d-0ed0-409a-9bbb-0564203ceda6,2026-05-04,4.3
a0a128a0-0fa3-4d32-a7c6-e236a5124d8e,72e0f47d-0ed0-409a-9bbb-0564203ceda6,2026-05-11,4.9
613b2698-bf08-4c8c-b053-dcadb367c1f5,72e0f47d-0ed0-409a-9bbb-0564203ceda6,2026-05-14,3.1
6a0e27a6-c827-4983-bbe1-02189187835c,72e0f47d-0ed0-409a-9bbb-0564203ceda6,2026-05-15,4.6
f0a0fb97-c259-40c9-b2ea-e7e093d19aee,72e0f47d-0ed0-409a-9bbb-0564203ceda6,2026-05-18,4.0
299bffc8-0a05-4241-b6cf-c790ec39e365,72e0f47d-0ed0-409a-9bbb-0564203ceda6,2026-05-25,5.2
039adfac-9ed1-4207-869c-c5e691c1ef97,72e0f47d-0ed0-409a-9bbb-0564203ceda6,2026-06-05,2.8
065c38fe-c7fb-407a-ae03-9a33665df706,72e0f47d-0ed0-409a-9bbb-0564203ceda6,2026-06-08,5.5
bd606a9e-6338-4c0e-b5b4-c0931b888027,72e0f47d-0ed0-409a-9bbb-0564203ceda6,2026-06-19,5.7
786b81b7-1ee0-445d-979f-80f79477ff55,45ad8569-ef44-4e61-939f-51d9e4a14686,2026-01-06,5.0
631049e7-6aa4-439f-a48a-62faf3aa1cb2,45ad8569-ef44-4e61-939f-51d9e4a14686,2026-01-08,2.5
3a5d1f52-f250-4d95-91fd-3e11c7c3f3ad,45ad8569-ef44-4e61-939f-51d9e4a14686,2026-01-29,4.2
feb5df8e-7d2b-4388-b6f1-d65629e7daf1,45ad8569-ef44-4e61-939f-51d9e4a14686,2026-02-02,4.8
af0022b9-3078-4158-9714-173034d4fae8,45ad8569-ef44-4e61-939f-51d9e4a14686,2026-02-16,4.0
1c47f822-469e-47d5-9d10-4d4d9dd206f1,45ad8569-ef44-4e61-939f-51d9e4a14686,2026-02-20,6.0
bdefa8a9-5b23-46f4-a4f9-66a2badb51aa,45ad8569-ef44-4e61-939f-51d9e4a14686,2026-02-23,7.1
0c04d07d-bf53-4a8f-b97c-46c390b91746,45ad8569-ef44-4e61-939f-51d9e4a14686,2026-03-03,4.1
